Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn
9312,-38.9234123229981,-39.6451225280762,-32.3694229125977,-35.9257392883301,-31.2353477478027,-26.8167209625244,51552,-28.4833316802979
9408,-38.8987655639648,-39.5772895812988,-32.6219177246094,-35.4806900024414,-31.3999481201172,-27.0416374206543,51744,-28.5170593261719
9504,-39.1650657653809,-39.6540222167969,-32.3647956848145,-35.3280372619629,-31.8944664001465,-25.8823146820068,51936,-28.931812286377
9600,-39.325611114502,-39.6679382324219,-32.0578689575195,-35.2709159851074,-31.9134159088135,-25.7415027618408,52320,-28.7675800323486
9696,-39.5651702880859,-39.6675567626953,-31.9864692687988,-35.3882484436035,-32.6278114318848,-25.7199211120605,52512,-28.8672332763672
9792,-39.5677070617676,-39.7801780700684,-31.3256797790527,-35.19287109375,-33.1978645324707,-25.7773933410645,53088,-28.7404022216797
9888,-39.7537498474121,-40.0292778015137,-30.4865455627441,-34.3585014343262,-33.6604270935059,-25.911678314209,53472,-28.8877868652344
9984,-39.8289909362793,-39.9003105163574,-29.7655696868897,-34.7089195251465,-34.4126510620117,-25.7826995849609,54048,-28.9234924316406
10080,-39.8784027099609,-39.7847518920898,-28.9197368621826,-34.493034362793,-35.4850959777832,-26.0879230499268,54240,-29.0785331726074
10176,-40.0668754577637,-39.7633209228516,-29.3973846435547,-34.0868682861328,-36.3076972961426,-26.06422996521,54624,-28.6982975006104
10272,-40.1995506286621,-39.7596244812012,-29.0121250152588,-34.6379890441895,-37.3244590759277,-25.7881298065186,56160,-27.22483253479
10368,-40.2602157592773,-39.677433013916,-27.5829944610596,-34.6807861328125,-38.3226890563965,-25.6571979522705,56736,-26.0858573913574
10464,-40.0924949645996,-39.6075325012207,-27.035530090332,-34.4010124206543,-37.9460792541504,-25.5512046813965,57120,-26.3050289154053
10560,-40.3458290100098,-39.7917747497559,-27.2696495056152,-33.5180587768555,-37.4685707092285,-25.4552192687988,57312,-26.479528427124
10656,-40.2151718139648,-39.8125457763672,-26.6185607910156,-33.0828247070313,-37.4596557617188,-25.6508197784424,58944,-25.9913673400879
10752,-40.1554489135742,-39.7298126220703,-26.0963878631592,-33.3234748840332,-37.2899017333984,-25.4023590087891,59040,-26.2228851318359
10848,-40.2509880065918,-39.7089767456055,-25.1971988677979,-32.5442008972168,-37.0471115112305,-24.8375186920166,59808,-25.1169834136963
11040,-40.1775550842285,-39.412971496582,-24.056713104248,-31.8604145050049,-37.3469886779785,-22.5613346099854,59904,-25.1459884643555
11136,-40.2497901916504,-39.3382568359375,-24.333854675293,-31.5002632141113,-36.5652465820313,-21.8470439910889,60384,-25.1420097351074
11232,-40.199462890625,-39.0514183044434,-23.4889602661133,-29.9169025421143,-35.8710060119629,-20.6315860748291,60480,-25.1873092651367
11328,-40.1567573547363,-39.0560073852539,-22.9698657989502,-28.6982364654541,-35.6179046630859,-19.7280864715576,61248,-24.010217666626
11424,-40.2474822998047,-38.9017944335938,-22.1113700866699,-27.9159355163574,-35.6861419677734,-18.3029136657715,61824,-24.245906829834
11520,-40.1735458374023,-38.7817802429199,-21.4506931304932,-27.0123653411865,-35.3656616210938,-17.9086265563965,61920,-24.6080379486084
11616,-40.4338493347168,-38.7373237609863,-20.314172744751,-25.9834423065186,-34.6360092163086,-17.369441986084,62400,-24.4904880523682
11712,-40.2542152404785,-38.6136131286621,-19.0485229492188,-25.3922939300537,-33.9154319763184,-16.8504543304443,63264,-25.2020435333252
11808,-39.9947319030762,-38.4756851196289,-17.7101707458496,-25.6068782806397,-32.8164596557617,-16.0079097747803,63456,-25.5523738861084
11904,-40.0251502990723,-38.4887161254883,-18.1241779327393,-25.004301071167,-31.6081695556641,-15.5489301681519,64128,-25.3829383850098
12000,-39.857292175293,-38.2421379089356,-18.1876964569092,-23.806921005249,-31.0560779571533,-15.0724458694458,64896,-25.7129802703857
12096,-39.8266143798828,-38.3463821411133,-17.6573181152344,-22.7754001617432,-30.4854679107666,-14.5496530532837,64992,-25.5562400817871
12192,-39.7733001708984,-38.2825622558594,-17.2934398651123,-21.8988552093506,-29.1750392913818,-14.0692081451416,66528,-23.9529075622559
12288,-39.6832504272461,-38.2067260742188,-17.0708866119385,-21.4036865234375,-27.6806907653809,-13.4755201339722,66720,-23.776891708374
12384,-39.5353202819824,-38.3586807250977,-17.0382022857666,-20.3188381195068,-26.2024307250977,-12.5950679779053,69312,-22.2129230499268
12480,-39.6245307922363,-38.3178672790527,-16.9048633575439,-19.4987812042236,-24.5395069122314,-11.9047651290894,69504,-22.1318492889404
12576,-39.703254699707,-38.3036041259766,-15.9712543487549,-18.6581859588623,-23.5176105499268,-11.3137197494507,69696,-22.1162528991699
12672,-39.6304054260254,-38.6890830993652,-15.5378999710083,-17.2074909210205,-21.6289196014404,-11.0605020523071,69984,-21.9704990386963
12768,-39.555061340332,-38.6499443054199,-15.3827686309814,-16.0640735626221,-19.7460784912109,-11.6427412033081,70272,-21.8011627197266
12864,-39.6010513305664,-38.8012466430664,-15.2421588897705,-15.5549478530884,-19.0496845245361,-10.9540510177612,70368,-21.7648754119873
12960,-39.5325889587402,-38.828182220459,-14.5211448669434,-15.2103509902954,-18.1757946014404,-10.6790361404419,71520,-21.8651885986328
13056,-39.4125633239746,-38.6087799072266,-14.3074426651001,-14.4763031005859,-17.1992607116699,-10.4200048446655,73440,-20.3741264343262
13152,-39.4806175231934,-38.8548889160156,-14.3427858352661,-13.5114984512329,-16.5786075592041,-10.3994007110596,74496,-20.6389255523682
13248,-39.6003074645996,-38.6570472717285,-14.1637420654297,-13.3777799606323,-15.9316329956055,-10.709490776062,74592,-20.7728786468506
13344,-39.5682983398438,-38.5598030090332,-13.7402248382568,-13.3508739471436,-15.1533145904541,-10.9927539825439,75168,-20.4549427032471
13440,-39.5922088623047,-38.8015289306641,-13.7277679443359,-13.7920665740967,-14.3898010253906,-12.9850645065308,75744,-19.8721008300781
13536,-39.4479179382324,-38.9146537780762,-12.9164247512817,-12.468243598938,-13.9567718505859,-13.115873336792,77280,-18.6900005340576
13632,-39.4281044006348,-39.1804084777832,-12.8341579437256,-12.5361623764038,-13.8026523590088,-13.7012605667114,77376,-18.8318538665772
13728,-39.3372573852539,-38.983268737793,-12.6522884368896,-12.5007181167603,-13.81276512146,-13.6160821914673,77568,-18.5055923461914
13824,-39.3047599792481,-39.1117553710938,-12.5174608230591,-12.482949256897,-13.5287961959839,-13.6091585159302,78720,-19.2198238372803
13920,-39.1481170654297,-39.3423042297363,-12.522027015686,-12.9093360900879,-13.0857200622559,-13.4816970825195,79968,-18.8682460784912
14016,-39.0388793945313,-39.3033447265625,-12.4835977554321,-12.9453001022339,-12.8074369430542,-13.6777124404907,80736,-17.899715423584
14112,-39.2522659301758,-39.1194839477539,-12.0682983398438,-12.6224575042725,-12.5308980941772,-13.703088760376,81024,-18.3199672698975
14208,-39.4424819946289,-39.1230201721191,-11.6458196640015,-11.8245878219605,-12.5697679519653,-13.6094436645508,82368,-18.5144844055176
