Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn,Steps,dqn_gnn_fe_plus_net_arch,dqn_gnn_single_policy,dqn_gnn_fe_load_profile_1,dqn_gnn_sp_load_1
4320,-39.3091850280762,-38.856819152832,-38.3549919128418,-38.9463157653809,-37.7113380432129,-37.1552124023438,26112,-35.3509635925293,12192,-31.1994934082031,-35.0369148254395,-38.9195365905762,-38.9799613952637
4416,-39.2448692321777,-38.7891426086426,-38.3114700317383,-38.8763542175293,-37.5797424316406,-37.0367279052734,26400,-35.1517448425293,12384,-30.4324283599854,-34.5631866455078,-38.6168479919434,-39.2540283203125
4512,-39.2576866149902,-38.799976348877,-38.3828964233398,-38.838264465332,-37.4349937438965,-36.4435386657715,27168,-35.3636589050293,12576,-29.4129886627197,-33.7059135437012,-38.241641998291,-39.0799827575684
4608,-39.0845069885254,-38.9614410400391,-38.1771469116211,-39.2801513671875,-37.2529296875,-36.9793930053711,27456,-35.3755607604981,13152,-29.580680847168,-32.021671295166,-37.955192565918,-38.8926239013672
4704,-39.2006187438965,-39.0275230407715,-38.3458671569824,-39.4829444885254,-37.4307479858398,-37.1773910522461,27936,-34.5833282470703,13248,-29.585542678833,-31.4880084991455,-37.7802963256836,-38.9698333740234
4800,-39.1634025573731,-39.2855567932129,-38.7593307495117,-39.3429374694824,-37.1761436462402,-37.4388198852539,28416,-34.0897331237793,13920,-29.0880012512207,-30.424898147583,-37.9178314208984,-38.8673706054688
4896,-39.0400085449219,-39.1323776245117,-39.063907623291,-39.4236564636231,-37.2007942199707,-37.790283203125,29664,-33.7809867858887,14112,-28.9254817962647,-30.3408832550049,-38.0453834533691,-38.408374786377
4992,-39.2080459594727,-39.1466445922852,-39.1260681152344,-39.3758392333984,-37.3688354492188,-38.0284004211426,30432,-34.2446670532227,14208,-28.8517513275147,-30.2861499786377,-38.2202949523926,-38.5289649963379
5088,-39.2342071533203,-39.1923637390137,-38.8946914672852,-39.2646217346191,-37.423698425293,-37.8093185424805,30624,-34.2095756530762,14496,-28.0381984710693,-30.6808223724365,-38.1530494689941,-37.8914031982422
5184,-39.1525535583496,-39.069580078125,-38.8340110778809,-39.3565406799316,-37.440860748291,-37.6984977722168,30720,-34.4204254150391,15168,-27.5032958984375,-31.0562801361084,-37.6286735534668,-37.3338203430176
5280,-38.8227119445801,-39.1303405761719,-38.4454307556152,-39.6063041687012,-37.8302955627441,-37.3046112060547,31008,-34.5322570800781,15456,-27.0467681884766,-31.3961429595947,-37.4722175598145,-36.7740478515625
5376,-38.7248992919922,-38.8532447814941,-38.7277793884277,-39.5744743347168,-37.7344017028809,-37.2871932983398,33216,-33.7447776794434,15648,-27.1451740264893,-31.9242897033691,-37.2050857543945,-36.2696762084961
5472,-38.2771034240723,-38.8711547851563,-38.570728302002,-39.6868362426758,-37.9167518615723,-37.4261589050293,33312,-33.9057769775391,15840,-27.2634086608887,-31.6866016387939,-37.0945243835449,-36.0615997314453
5568,-38.1792259216309,-38.8464126586914,-38.2114372253418,-39.7055969238281,-37.7817039489746,-36.9582023620606,34464,-32.9161529541016,16416,-27.1360130310059,-30.7275199890137,-37.0427970886231,-35.6223945617676
5664,-38.3460388183594,-38.660026550293,-37.7574348449707,-40.0335998535156,-37.7352066040039,-36.6891403198242,35040,-33.305850982666,16512,-26.8817234039307,-30.5848445892334,-36.7776489257813,-35.1117210388184
5856,-38.3879508972168,-38.4782447814941,-37.91357421875,-40.8716278076172,-38.6652603149414,-35.9956855773926,35136,-33.5045166015625,16608,-26.649206161499,-30.3012561798096,-35.716495513916,-34.0550270080566
5952,-38.4011955261231,-38.6936988830566,-38.4128875732422,-40.7203521728516,-38.217227935791,-35.8735389709473,35232,-33.6373748779297,17088,-26.9721050262451,-29.3118629455566,-35.7046508789063,-33.6971015930176
6048,-38.227954864502,-38.7607841491699,-37.7623901367188,-40.7644500732422,-38.6946182250977,-35.5686645507813,36384,-33.9465179443359,17760,-26.7520427703857,-27.5051002502441,-35.4884834289551,-33.9339447021484
6144,-38.2730979919434,-38.9869804382324,-37.5326347351074,-40.3278388977051,-38.5271110534668,-35.2917938232422,37152,-33.0625762939453,17856,-26.9483127593994,-27.5527076721191,-35.0353546142578,-34.1086311340332
6336,-38.4534149169922,-39.05615234375,-36.4370613098145,-40.0356788635254,-38.6024589538574,-34.9626541137695,37536,-32.4641265869141,17952,-27.0109119415283,-27.2876739501953,-34.3872680664063,-33.3310813903809
6432,-38.3309516906738,-39.1822853088379,-35.939151763916,-40.1006202697754,-38.5404510498047,-34.7978897094727,37728,-32.3752288818359,18336,-26.2253227233887,-26.5017356872559,-34.3301200866699,-33.2100868225098
6528,-38.4369583129883,-39.2660598754883,-35.6194534301758,-40.0149726867676,-38.0678367614746,-35.3729629516602,38208,-32.4794845581055,18432,-25.9720020294189,-26.2356719970703,-34.0928573608398,-32.8459281921387
6624,-38.595645904541,-39.3563423156738,-35.3333511352539,-39.7555351257324,-37.7784652709961,-35.106315612793,38688,-32.3619270324707,18528,-25.830904006958,-25.6929702758789,-34.0130424499512,-32.6645202636719
6720,-38.816707611084,-39.2275581359863,-35.4852676391602,-39.6129379272461,-37.5297813415527,-34.725227355957,38880,-32.0731353759766,19200,-25.4000720977783,-25.2666549682617,-33.3341102600098,-33.0596885681152
6816,-38.9439544677734,-39.3326606750488,-35.5656585693359,-39.202808380127,-37.56640625,-34.8915977478027,39936,-31.6059513092041,19488,-24.5167980194092,-24.9675579071045,-32.7687835693359,-32.9245071411133
6912,-39.0208129882813,-39.1990356445313,-35.546501159668,-38.895133972168,-37.3433494567871,-35.381706237793,40512,-31.2481956481934,19584,-24.3938884735107,-24.9843235015869,-32.7363319396973,-33.1062736511231
7008,-39.0730285644531,-39.0888595581055,-36.0976371765137,-38.2077903747559,-37.3109359741211,-34.2349815368652,40608,-31.5057983398438,19680,-24.2634010314941,-24.5037097930908,-32.623348236084,-32.6079902648926
7104,-38.8661460876465,-38.9864082336426,-35.3291244506836,-37.7811698913574,-36.7418174743652,-34.6589965820313,41952,-30.8620681762695,19776,-24.120662689209,-24.4785480499268,-32.5132102966309,-32.2605285644531
7200,-38.7849731445313,-38.9047813415527,-34.6509475708008,-37.9495582580566,-36.5582466125488,-34.0013008117676,42048,-31.0205249786377,19968,-24.5347690582275,-24.4047050476074,-32.5028190612793,-32.0035629272461
7296,-38.7807846069336,-39.0441398620606,-34.0659065246582,-37.3466453552246,-35.9209861755371,-33.1079444885254,42240,-30.7767791748047,20352,-23.6908531188965,-23.7302379608154,-32.9654960632324,-32.3320274353027
7392,-38.7531585693359,-39.0523071289063,-34.0045852661133,-37.1110496520996,-35.4721870422363,-31.9093437194824,42912,-30.6854000091553,20544,-23.8113632202148,-23.2839851379395,-32.5540199279785,-31.8253593444824
7488,-38.6697540283203,-38.9286689758301,-34.2747306823731,-37.4586753845215,-35.2037582397461,-31.478609085083,43488,-31.114725112915,20736,-23.4010887145996,-23.2149448394775,-31.8959369659424,-31.9549827575684
7584,-38.6335830688477,-38.9586181640625,-34.2011795043945,-37.0561981201172,-34.7508583068848,-31.3116493225098,44352,-31.1235198974609,21120,-22.8269062042236,-23.4782791137695,-31.3088283538818,-31.9478187561035
7680,-38.600959777832,-39.1207809448242,-34.2116813659668,-36.5475730895996,-33.8741493225098,-30.8484153747559,44736,-31.37038230896,21216,-22.6898727416992,-23.7145595550537,-31.0066146850586,-32.2060432434082
7776,-38.5811996459961,-39.2830314636231,-33.2071876525879,-36.8775405883789,-33.8666877746582,-30.3834457397461,45024,-31.9748382568359,21312,-22.4707012176514,-23.4699630737305,-30.5740413665772,-33.0980339050293
7872,-38.6788558959961,-39.2742614746094,-32.9877662658691,-36.5652008056641,-33.8137168884277,-29.6386756896973,45216,-31.467456817627,21600,-21.8462162017822,-24.1924514770508,-30.0994205474854,-33.2083168029785
7968,-38.6567687988281,-39.4032135009766,-33.5646171569824,-36.3556938171387,-33.7421607971191,-29.4155406951904,45600,-31.0450668334961,22080,-21.8520374298096,-23.5414085388184,-30.0058574676514,-33.2141418457031
8064,-38.646785736084,-39.5760307312012,-33.2773284912109,-35.5771980285645,-33.7138938903809,-29.0932483673096,45696,-30.9979496002197,23040,-20.2501964569092,-22.6248931884766,-29.4217586517334,-33.0499839782715
8160,-38.7931251525879,-39.426456451416,-33.3053665161133,-35.4282264709473,-34.1168060302734,-28.9240665435791,46176,-30.1812744140625,23520,-20.3979778289795,-21.7853393554688,-29.4664402008057,-32.5165786743164
8256,-38.7378120422363,-39.6041488647461,-32.8226890563965,-34.8406562805176,-33.6512680053711,-28.4120635986328,46272,-30.1515197753906,23616,-20.4546718597412,-21.0115146636963,-30.286678314209,-32.2368278503418
8352,-38.6779403686523,-39.4012222290039,-31.89599609375,-34.5783462524414,-33.6073265075684,-27.9676628112793,46848,-30.6628742218018,23712,-20.3237171173096,-21.0648803710938,-30.1179370880127,-32.3084487915039
8448,-38.62255859375,-39.3277168273926,-32.2447166442871,-34.7596702575684,-32.9230842590332,-27.5055332183838,49056,-27.7982749938965,24864,-18.0580253601074,-18.4065399169922,-29.3736171722412,-31.4705562591553
8544,-38.7121810913086,-39.2619094848633,-32.6548652648926,-34.8284873962402,-32.391040802002,-27.5903415679932,49248,-27.8270072937012,24960,-17.7811489105225,-18.0027179718018,-29.007755279541,-30.8997764587402
8640,-38.6664237976074,-39.3960380554199,-32.3622932434082,-34.9855766296387,-32.2718391418457,-28.0508632659912,49344,-27.8560066223145,25056,-17.7036075592041,-17.6328926086426,-29.1320838928223,-30.5441188812256
8736,-38.8649024963379,-39.6032600402832,-32.1740570068359,-35.6396903991699,-32.4634284973145,-28.0519275665283,49440,-27.7812995910645,26112,-15.3074684143066,-15.4954957962036,-29.1101207733154,-30.3708839416504
8928,-38.9911003112793,-39.4533767700195,-32.2674102783203,-35.872257232666,-31.7701759338379,-27.5174999237061,49728,-27.6298198699951,26400,-15.5656938552856,-15.4098815917969,-29.2499580383301,-30.2698802947998
9024,-39.161994934082,-39.6350288391113,-32.3814239501953,-35.7418251037598,-31.1048851013184,-28.2058486938477,49920,-27.8689632415772,26592,-15.1471490859985,-15.0518245697021,-28.7942237854004,-29.7450160980225
9120,-39.023624420166,-39.5892181396484,-32.016414642334,-35.6702117919922,-31.0451850891113,-27.8503379821777,51264,-28.1542358398438,26784,-14.9206886291504,-14.5363111495972,-28.714391708374,-28.7596626281738
9216,-38.8744926452637,-39.5546073913574,-31.9434432983398,-36.1042518615723,-30.9522762298584,-27.4590435028076,51360,-28.2396278381348,27168,-14.1174020767212,-14.7030820846558,-28.4396438598633,-28.329948425293
9312,-38.9234123229981,-39.6451225280762,-32.3694229125977,-35.9257392883301,-31.2353477478027,-26.8167209625244,51552,-28.4833316802979,27456,-14.162449836731,-14.6015539169312,-28.0065593719482,-27.81667137146
9408,-38.8987655639648,-39.5772895812988,-32.6219177246094,-35.4806900024414,-31.3999481201172,-27.0416374206543,51744,-28.5170593261719,27744,-13.525580406189,-14.3299760818481,-27.5121593475342,-27.5238170623779
9504,-39.1650657653809,-39.6540222167969,-32.3647956848145,-35.3280372619629,-31.8944664001465,-25.8823146820068,51936,-28.931812286377,27936,-13.4113550186157,-14.203516960144,-27.9067497253418,-26.9088249206543
9600,-39.325611114502,-39.6679382324219,-32.0578689575195,-35.2709159851074,-31.9134159088135,-25.7415027618408,52320,-28.7675800323486,28416,-12.9181509017944,-13.606541633606,-27.8303375244141,-26.9197540283203
9696,-39.5651702880859,-39.6675567626953,-31.9864692687988,-35.3882484436035,-32.6278114318848,-25.7199211120605,52512,-28.8672332763672,28608,-12.6724042892456,-13.2340402603149,-26.8731327056885,-26.7279853820801
9792,-39.5677070617676,-39.7801780700684,-31.3256797790527,-35.19287109375,-33.1978645324707,-25.7773933410645,53088,-28.7404022216797,28704,-12.3636255264282,-12.8005676269531,-26.7471580505371,-26.1594982147217
9888,-39.7537498474121,-40.0292778015137,-30.4865455627441,-34.3585014343262,-33.6604270935059,-25.911678314209,53472,-28.8877868652344,29472,-11.3514795303345,-11.1099338531494,-26.7299613952637,-25.6689414978027
9984,-39.8289909362793,-39.9003105163574,-29.7655696868897,-34.7089195251465,-34.4126510620117,-25.7826995849609,54048,-28.9234924316406,29664,-11.2894582748413,-10.467043876648,-26.5480136871338,-25.3509311676025
10080,-39.8784027099609,-39.7847518920898,-28.9197368621826,-34.493034362793,-35.4850959777832,-26.0879230499268,54240,-29.0785331726074,30048,-10.6343173980713,-9.89076995849609,-26.633020401001,-24.5169525146484
10176,-40.0668754577637,-39.7633209228516,-29.3973846435547,-34.0868682861328,-36.3076972961426,-26.06422996521,54624,-28.6982975006104,30432,-10.3895435333252,-9.62949657440186,-26.4236450195313,-22.678882598877
10272,-40.1995506286621,-39.7596244812012,-29.0121250152588,-34.6379890441895,-37.3244590759277,-25.7881298065186,56160,-27.22483253479,30624,-10.0003433227539,-9.6737174987793,-26.291410446167,-21.5476722717285
10368,-40.2602157592773,-39.677433013916,-27.5829944610596,-34.6807861328125,-38.3226890563965,-25.6571979522705,56736,-26.0858573913574,30720,-9.83421993255615,-9.62268447875977,-25.3501567840576,-20.7607822418213
10464,-40.0924949645996,-39.6075325012207,-27.035530090332,-34.4010124206543,-37.9460792541504,-25.5512046813965,57120,-26.3050289154053,31008,-9.93477153778076,-9.59829330444336,-24.7545909881592,-19.8922729492188
10560,-40.3458290100098,-39.7917747497559,-27.2696495056152,-33.5180587768555,-37.4685707092285,-25.4552192687988,57312,-26.479528427124,32448,-10.3542461395264,-10.055136680603,-24.0367736816406,-19.5261764526367
10656,-40.2151718139648,-39.8125457763672,-26.6185607910156,-33.0828247070313,-37.4596557617188,-25.6508197784424,58944,-25.9913673400879,32544,-10.2856483459473,-10.2940979003906,-22.5716342926025,-19.0939521789551
10752,-40.1554489135742,-39.7298126220703,-26.0963878631592,-33.3234748840332,-37.2899017333984,-25.4023590087891,59040,-26.2228851318359,33024,-10.5856494903564,-9.46968650817871,-21.5629196166992,-18.2313823699951
10848,-40.2509880065918,-39.7089767456055,-25.1971988677979,-32.5442008972168,-37.0471115112305,-24.8375186920166,59808,-25.1169834136963,33216,-10.4545669555664,-9.36190986633301,-21.2326259613037,-17.70871925354
11040,-40.1775550842285,-39.412971496582,-24.056713104248,-31.8604145050049,-37.3469886779785,-22.5613346099854,59904,-25.1459884643555,33312,-10.3939151763916,-9.46671772003174,-20.079439163208,-16.5104312896729
11136,-40.2497901916504,-39.3382568359375,-24.333854675293,-31.5002632141113,-36.5652465820313,-21.8470439910889,60384,-25.1420097351074,33888,-10.6748790740967,-9.47803592681885,-19.346887588501,-15.9962377548218
11232,-40.199462890625,-39.0514183044434,-23.4889602661133,-29.9169025421143,-35.8710060119629,-20.6315860748291,60480,-25.1873092651367,34080,-11.1165361404419,-8.77317810058594,-18.6229553222656,-15.1430950164795
11328,-40.1567573547363,-39.0560073852539,-22.9698657989502,-28.6982364654541,-35.6179046630859,-19.7280864715576,61248,-24.010217666626,34464,-12.664797782898,-8.77356815338135,-17.7594013214111,-14.49010181427
