Wall time,Step,Value
1732931269.6061983,91680,-12.620018005371094
1732931273.9204922,91872,-12.668500900268555
1732931276.0603578,91968,-12.5975923538208
1732931278.1864963,92064,-12.117877960205078
1732931284.3703382,92352,-11.545557022094727
1732931286.400953,92448,-11.469950675964355
1732931290.4830053,92640,-11.768059730529785
1732931294.6222842,92832,-11.750611305236816
1732931305.4970517,93312,-11.220602035522461
1732931307.6301434,93408,-11.222216606140137
1732931316.0332422,93792,-10.459529876708984
1732931318.295453,93888,-10.509891510009766
1732931320.4599168,93984,-10.793421745300293
1732931322.6550617,94080,-10.820423126220703
1732931329.4692526,94368,-10.593263626098633
1732931331.7643461,94464,-10.45330810546875
1732931333.9469972,94560,-10.267309188842773
1732931340.7223556,94848,-10.335431098937988
1732931342.803934,94944,-10.298355102539062
1732931358.18066,95712,-10.365509033203125
1732931366.2377622,96096,-11.348772048950195
1732931370.4197686,96288,-11.367579460144043
1732931374.7482507,96480,-11.080486297607422
1732931376.8820338,96576,-11.257081985473633
1732931383.2488236,96864,-11.446552276611328
1732931391.2184908,97248,-11.906559944152832
1732931393.2977629,97344,-11.869202613830566
1732931395.3723383,97440,-11.52006721496582
1732931401.4243765,97728,-11.125136375427246
1732931418.144643,98496,-10.37647819519043
1732931422.2624211,98688,-10.248106956481934
1732931430.6617165,99072,-9.930688858032227
1732931432.7265036,99168,-9.94386100769043
1732931438.7770197,99456,-9.98344612121582
1732931442.7585342,99648,-9.736930847167969
1732931446.4649339,99840,-9.937589645385742
1732931456.2526724,100320,-9.314820289611816
1732931470.5116553,100992,-9.717205047607422
1732931472.529455,101088,-9.77890682220459
1732931478.903201,101376,-9.891840934753418
1732931483.167255,101568,-10.179276466369629
1732931496.0831115,102144,-10.721802711486816
1732931498.25541,102240,-10.747118949890137
1732931502.2448971,102432,-10.984556198120117
1732931506.4625325,102624,-11.224956512451172
1732931514.2137415,103008,-11.15151596069336
1732931522.6193933,103392,-10.809380531311035
1732931526.583626,103584,-10.854419708251953
1732931539.0563061,104064,-11.237217903137207
1732931541.3711529,104160,-11.3160982131958
1732931543.6300695,104256,-10.887795448303223
1732931558.8144195,104928,-10.756937980651855
1732931561.1601355,105024,-10.499900817871094
1732931574.7703094,105600,-10.720796585083008
1732931583.5684764,105984,-10.914605140686035
1732931585.6791809,106080,-10.246469497680664
1732931587.7293708,106176,-10.289688110351562
1732931603.1174645,107040,-10.399415969848633
1732931604.878201,107232,-10.444883346557617
1732931607.5771167,107520,-10.756464958190918
1732931613.0865755,108096,-10.88586711883545
1732931613.978748,108192,-11.395304679870605
